scale_N,scale_K,poisson_input,V0_type,synapse_type,rng_seed,num_nodes,threads_per_task,tasks_per_node,model_time_sim,model_time_presim,time_collocate_spike_data,time_collocate_spike_data_cpu,time_communicate_prepare,time_communicate_prepare_cpu,time_communicate_spike_data,time_communicate_spike_data_cpu,time_communicate_target_data,time_communicate_target_data_cpu,time_construction_connect,time_construction_connect_cpu,time_construction_create,time_construction_create_cpu,time_deliver_secondary_data,time_deliver_secondary_data_cpu,time_deliver_spike_data,time_deliver_spike_data_cpu,time_gather_secondary_data,time_gather_secondary_data_cpu,time_gather_spike_data,time_gather_spike_data_cpu,time_gather_target_data,time_gather_target_data_cpu,time_omp_synchronization_construction,time_omp_synchronization_construction_cpu,time_omp_synchronization_simulation,time_omp_synchronization_simulation_cpu,time_mpi_synchronization,time_mpi_synchronization_cpu,time_simulate,time_simulate_cpu,time_communicate_prepare_mean,time_communicate_prepare_cpu_mean,time_update_mean,time_update_cpu_mean,time_construction_connect_mean,time_construction_connect_cpu_mean,time_deliver_secondary_data_mean,time_deliver_secondary_data_cpu_mean,time_deliver_spike_data_mean,time_deliver_spike_data_cpu_mean,time_gather_target_data_mean,time_gather_target_data_cpu_mean,time_omp_synchronization_construction_mean,time_omp_synchronization_construction_cpu_mean,time_omp_synchronization_simulation_mean,time_omp_synchronization_simulation_cpu_mean,py_time_kernel_prepare,py_time_network_local,py_time_network_global,py_time_simulate,py_time_presimulate,py_time_network_prepare,py_time_create,py_time_connect_area,py_time_connect_cc,py_time_connect,base_memory,network_memory,init_memory,total_memory,num_connections,local_spike_counter
1.0,1.0,False,'optimized','static_synapse',654,1,64,2,10000.0,100.,,,,,,,,,1.2173061535,1.187549359,0.0108944995,0.0107791485,,,,,,,,,,,,,,,,,5.917374911,5.8216759945,,,,,,,,,,,,,,,,,,,,5.980842471122742,0.0636441707611084,,1.8962321281433105,,,3.133932948112488,1447700.0,17328396.0,17332592.0,17332592.0,298880968.0,2452729.0
1.0,1.0,False,'optimized','static_synapse',654,2,64,2,10000.0,100.,,,,,,,,,0.65821788,0.64021477825,0.0043422899999999995,0.00418502925,,,,,,,,,,,,,,,,,3.744775933,3.70037333575,,,,,,,,,,,,,,,,,,,,3.792056977748871,0.04928714036941528,,1.462734878063202,,,2.547898232936859,2895388.0,21491212.0,21499604.0,21499604.0,298880968.0,2445969.0
1.0,1.0,False,'optimized','static_synapse',654,3,64,2,10000.0,100.,,,,,,,,,0.47965939016666664,0.4582473613333333,0.004296234666666667,0.003935842833333334,,,,,,,,,,,,,,,,,3.528828381,3.4808021169999996,,,,,,,,,,,,,,,,,,,,3.5696370204289756,0.04237647851308187,,1.2737813393274944,,,2.7354373931884766,4336968.0,23673648.0,23686236.0,23686236.0,298880968.0,2464369.0
1.0,1.0,False,'optimized','static_synapse',654,4,64,2,10000.0,100.,,,,,,,,,0.351647271375,0.34470448725,0.004220702,0.003988502625,,,,,,,,,,,,,,,,,3.400223932875,3.366858286625,,,,,,,,,,,,,,,,,,,,3.4373410046100616,0.04495266079902649,,1.2434332966804504,,,2.231753945350647,5772372.0,27326516.0,27343300.0,27343300.0,298880968.0,2451647.0
1.0,1.0,False,'optimized','static_synapse',654,5,64,2,10000.0,100.,,,,,,,,,0.2970085156,0.2903350969,0.0039764633,0.0038106812000000003,,,,,,,,,,,,,,,,,3.4654843495999996,3.4158975853,,,,,,,,,,,,,,,,,,,,3.502421498298645,0.04191465377807617,,1.1406708002090453,,,2.0084448575973513,7220068.0,29762876.0,29783856.0,29783856.0,298880968.0,2471683.0
1.0,1.0,False,'optimized','static_synapse',654,6,64,2,10000.0,100.,,,,,,,,,0.2570728945,0.252713448,0.004910797333333334,0.004369692666666667,,,,,,,,,,,,,,,,,3.729839104,3.690133782333333,,,,,,,,,,,,,,,,,,,,3.769760807355245,0.046042064825693764,,1.0993465582529705,,,2.115261514981588,8680060.0,36333532.0,36341924.0,36341924.0,298880968.0,2462144.0
1.0,1.0,False,'optimized','static_synapse',11,1,64,2,10000.0,100.,,,,,,,,,1.2381703824999999,1.2005250675,0.0113095725,0.011000791499999999,,,,,,,,,,,,,,,,,5.8168428195,5.731007508499999,,,,,,,,,,,,,,,,,,,,5.882309079170227,0.0658109188079834,,1.9095127582550049,,,3.2026301622390747,1441548.0,17316100.0,17320296.0,17320296.0,298880968.0,2453216.0
1.0,1.0,False,'optimized','static_synapse',11,2,64,2,10000.0,100.,,,,,,,,,0.65674517425,0.6375835925,0.0043146335,0.0037795205000000004,,,,,,,,,,,,,,,,,3.88642958575,3.83510320825,,,,,,,,,,,,,,,,,,,,3.9339492321014404,0.050540804862976074,,1.4630025625228882,,,2.761720299720764,2876968.0,21451288.0,21459680.0,21459680.0,298880968.0,2449685.0
1.0,1.0,False,'optimized','static_synapse',11,3,64,2,10000.0,100.,,,,,,,,,0.4787328528333333,0.458450343,0.004930665833333333,0.004285402,,,,,,,,,,,,,,,,,3.259086738166667,3.2305202570000002,,,,,,,,,,,,,,,,,,,,3.298529068628947,0.043024937311808266,,1.2769231796264648,,,2.5108887354532876,4330820.0,23673644.0,23686232.0,23686232.0,298880968.0,2460729.0
1.0,1.0,False,'optimized','static_synapse',11,4,64,2,10000.0,100.,,,,,,,,,0.349802351625,0.34149394275,0.00486643675,0.004175145375,,,,,,,,,,,,,,,,,3.224262989125,3.192998688,,,,,,,,,,,,,,,,,,,,3.2627511024475098,0.044219970703125,,1.2387737333774567,,,2.229675740003586,5766228.0,27372596.0,27389380.0,27389380.0,298880968.0,2469242.0
